country,mean_total,n_participants
C21,40,65
United States of America,32,390
People's Republic of China,31.666666666666668,390
C25,31,65
C24,30,65
C22,29,65
C23,28,65
Republic of Korea,28,390
India,27.833333333333332,390
Belarus,27.5,390
C26,27,65
Singapore,27,390
United Kingdom,27,390
Hungary,25.833333333333332,390
Poland,25.166666666666668,390
Türkiye,25.166666666666668,390
Taiwan,24.833333333333332,390
Romania,24.166666666666668,390
Bosnia and Herzegovina,24,390
Italy,23.833333333333332,390
Japan,23.833333333333332,390
Israel,23.666666666666668,390
Mongolia,23.666666666666668,390
Hong Kong,23.333333333333332,390
Islamic Republic of Iran,22.833333333333332,390
Brazil,22.333333333333332,390
France,22.166666666666668,390
Serbia,22,390
Canada,21.833333333333332,390
Mexico,21.5,390
Austria,21.166666666666668,390
Kazakhstan,21.166666666666668,390
Bulgaria,21,390
Greece,21,390
Kyrgyzstan,20.333333333333332,390
Peru,20.333333333333332,390
Germany,20,390
New Zealand,20,390
Malaysia,19.666666666666668,390
Vietnam,19.666666666666668,390
Croatia,19.333333333333332,390
Slovakia,19.333333333333332,390
Thailand,19.333333333333332,390
Armenia,18.833333333333332,390
Australia,18.833333333333332,390
Ukraine,18.833333333333332,390
Lithuania,18.8,325
Indonesia,18.5,390
Saudi Arabia,18.5,390
Uzbekistan,18.333333333333332,390
Netherlands,18.166666666666668,390
Georgia,18,390
North Macedonia,17.833333333333332,390
Turkmenistan,17.833333333333332,390
Switzerland,17.666666666666668,390
Czech Republic,17.166666666666668,390
Philippines,17,390
Sweden,17,390
Republic of Moldova,16.8,325
Nicaragua,16,65
South Africa,15.5,390
Slovenia,15.333333333333334,390
Estonia,15.166666666666666,390
Argentina,15,390
Cyprus,14.666666666666666,390
Denmark,14.666666666666666,390
Colombia,14.5,390
Latvia,14.5,390
Algeria,14.333333333333334,390
Finland,14.166666666666666,390
Norway,14.166666666666666,390
Liechtenstein,14,65
Bangladesh,13.833333333333334,390
Costa Rica,13.666666666666666,390
Belgium,13.333333333333334,390
Spain,13.333333333333334,390
Tajikistan,13.333333333333334,390
Portugal,11.833333333333334,390
Sri Lanka,11.833333333333334,390
Cuba,11.333333333333334,390
Ireland,11.166666666666666,390
Tunisia,11.166666666666666,390
Azerbaijan,10.666666666666666,390
Pakistan,10.666666666666666,390
Syria,10.666666666666666,390
Iraq,10,325
Luxembourg,10,390
Panama,10,65
Macau,9.333333333333334,390
Albania,8.5,390
Chile,8.5,130
Kosovo,8,390
Uruguay,8,390
Ecuador,7.666666666666667,390
Trinidad and Tobago,7.4,325
Bolivia,6.5,260
Dominican Republic,6.5,390
Rwanda,6.5,390
Puerto Rico,6,195
Iceland,5.833333333333333,390
El Salvador,5.666666666666667,195
Myanmar,5,390
Paraguay,5,260
Nepal,4.666666666666667,390
Venezuela,4.666666666666667,195
Uganda,3.6666666666666665,390
Ivory Coast,3.1666666666666665,390
Botswana,2.5,390
Bhutan,1.6,325
Kenya,1.4,325
Honduras,1,65
Ghana,0.6666666666666666,390
Oman,0.6666666666666666,390
United Arab Emirates,0.25,260
