country,avg_total,medal_count,participation_years
C21,40,65,65
United States of America,32,390,65
People's Republic of China,31.666666666666668,390,65
C25,31,65,65
C24,30,65,65
C22,29,65,65
C23,28,65,65
Republic of Korea,28,390,65
India,27.833333333333332,390,65
Belarus,27.5,390,65
C26,27,65,65
Singapore,27,390,65
United Kingdom,27,390,65
Hungary,25.833333333333332,390,65
Poland,25.166666666666668,390,65
Türkiye,25.166666666666668,390,65
Taiwan,24.833333333333332,390,65
Romania,24.166666666666668,390,65
Bosnia and Herzegovina,24,390,65
Italy,23.833333333333332,390,65
Japan,23.833333333333332,390,65
Israel,23.666666666666668,390,65
Mongolia,23.666666666666668,390,65
Hong Kong,23.333333333333332,390,65
Islamic Republic of Iran,22.833333333333332,390,65
Brazil,22.333333333333332,390,65
France,22.166666666666668,390,65
Serbia,22,390,65
Canada,21.833333333333332,390,65
Mexico,21.5,390,65
Austria,21.166666666666668,390,65
Kazakhstan,21.166666666666668,390,65
Bulgaria,21,390,65
Greece,21,390,65
Kyrgyzstan,20.333333333333332,390,65
Peru,20.333333333333332,390,65
Germany,20,390,65
New Zealand,20,390,65
Malaysia,19.666666666666668,390,65
Vietnam,19.666666666666668,390,65
Croatia,19.333333333333332,390,65
Slovakia,19.333333333333332,390,65
Thailand,19.333333333333332,390,65
Armenia,18.833333333333332,390,65
Australia,18.833333333333332,390,65
Ukraine,18.833333333333332,390,65
Lithuania,18.8,325,65
Indonesia,18.5,390,65
Saudi Arabia,18.5,390,65
Uzbekistan,18.333333333333332,325,65
Netherlands,18.166666666666668,390,65
Georgia,18,325,65
North Macedonia,17.833333333333332,390,65
Turkmenistan,17.833333333333332,390,65
Switzerland,17.666666666666668,390,65
Czech Republic,17.166666666666668,390,65
Philippines,17,390,65
Sweden,17,390,65
Republic of Moldova,16.8,325,65
Nicaragua,16,65,65
South Africa,15.5,260,65
Slovenia,15.333333333333334,325,65
Estonia,15.166666666666666,390,65
Argentina,15,325,65
Cyprus,14.666666666666666,390,65
Denmark,14.666666666666666,390,65
Colombia,14.5,390,65
Latvia,14.5,390,65
Algeria,14.333333333333334,325,65
Finland,14.166666666666666,325,65
Norway,14.166666666666666,390,65
Liechtenstein,14,65,65
Bangladesh,13.833333333333334,390,65
Costa Rica,13.666666666666666,325,65
Belgium,13.333333333333334,260,65
Spain,13.333333333333334,325,65
Tajikistan,13.333333333333334,325,65
Portugal,11.833333333333334,325,65
Sri Lanka,11.833333333333334,390,65
Cuba,11.333333333333334,325,65
Ireland,11.166666666666666,260,65
Tunisia,11.166666666666666,260,65
Azerbaijan,10.666666666666666,390,65
Pakistan,10.666666666666666,195,65
Syria,10.666666666666666,325,65
Iraq,10,195,65
Luxembourg,10,260,65
Panama,10,65,65
Macau,9.333333333333334,325,65
Albania,8.5,260,65
Chile,8.5,65,65
Kosovo,8,260,65
Uruguay,8,195,65
Ecuador,7.666666666666667,195,65
Trinidad and Tobago,7.4,130,65
Bolivia,6.5,130,65
Dominican Republic,6.5,195,65
Rwanda,6.5,260,65
Puerto Rico,6,65,65
Iceland,5.833333333333333,130,65
El Salvador,5.666666666666667,65,65
Myanmar,5,195,65
Paraguay,5,65,65
Nepal,4.666666666666667,130,65
Venezuela,4.666666666666667,0,65
Uganda,3.6666666666666665,65,65
Ivory Coast,3.1666666666666665,0,65
Botswana,2.5,65,65
Bhutan,1.6,0,65
Kenya,1.4,0,65
Honduras,1,0,65
Ghana,0.6666666666666666,0,65
Oman,0.6666666666666666,0,65
United Arab Emirates,0.25,0,65
